"Location";"Type";"EstablishmentName";"EstablishmentStatus";"HeadFirstName";"HeadHonours";"HeadLastName";"HeadPreferredJobTitle";"HeadTitle";"Postcode";"Street";"Town"
"Darlington";"Primary";"Abbey Junior School";"Open";"G E";NULL;"Ford";"Headteacher";"Mr";"DL3 8NN";"Abbey Road";"Darlington"
"Darlington";"Primary";"Mount Pleasant Primary School";"Open";"Gillian";NULL;"Broome";"Headteacher";"Mrs";"DL3 9HE";"Newton Lane";"Darlington"
"Darlington";"Primary";"Gurney Pease Primary School";"Open";"S";NULL;"Battensby";"Headteacher";"Mrs";"DL1 2NG";"Dodsworth Street";"Darlington"
"Darlington";"Primary";"Springfield Primary School";"Open";"Dela";NULL;"Smith";"Excecutive Director";"Dame";"DL1 2AN";"Salters Lane South";"Darlington"
"Darlington";"Primary";"Northwood Primary School";"Open";"David";"Bed";"Ackroyd";"Headteacher";"Mr";"DL1 2HF";"Pendleton Road South";"Darlington"
"Darlington";"Primary";"Reid Street Primary School";"Open";"Paul";NULL;"Rhatigan";"Headteacher";"Mr";"DL3 6EX";"Reid Street";"Darlington"
"Darlington";"Primary";"Abbey Infants' School";"Open";"Elaine";NULL;"McCue";"Headteacher";"Mrs";"DL3 8JA";"Cleveland Terrace";"Darlington"
"Darlington";"Primary";"Mowden Infants' School";"Open";"C";NULL;"Taylor";"Headteacher";"Mr";"DL3 9QG";"Bushel Hill Drive";"Darlington"
"Darlington";"Primary";"Red Hall Primary School";"Open";"Peter";NULL;"Boddy";"Headteacher";"Mr";"DL1 2ST";"Headingley Crescent";"Darlington"
"Darlington";"Primary";"Mowden Junior School";"Open";"B";NULL;"Watkinson";"Headteacher";"Mr";"DL3 9DE";"Conyers Avenue";"Darlington"
"Darlington";"Primary";"Hurworth Primary School";"Open";"Joy";NULL;"Vening";"Headteacher";"Mrs";"DL2 2ET";"Westfield Drive";"Darlington"
"Darlington";"Primary";"Heathfield Primary School";"Open";"Nick";NULL;"Blackburn";"Headteacher";"Mr";"DL1 1EJ";"The Broadway";"Darlington"
"Darlington";"Primary";"Cockerton Church of England Primary School";"Open";"Chris";NULL;"Metcalfe";"Headteacher";"Mr";"DL3 9EX";"Newton Lane";"Darlington"
"Darlington";"Primary";"Heighington Church of England Primary School";"Open";"Neil";NULL;"Parker";"Headteacher";"Mr";"DL5 6PH";"Hopelands";"Darlington"
