"FinancialYear";"FinancialWeek";"Year";"Month";"Visitors"
"2002";"1";"2002";"April";"4062"
"2002";"2";"2002";"April";"1700"
"2002";"3";"2002";"April";"1205"
"2002";"4";"2002";"April";"867"
"2002";"5";"2002";"May";"1105"
"2002";"6";"2002";"May";"2120"
"2002";"7";"2002";"May";"1048"
"2002";"8";"2002";"May";"1265"
"2002";"9";"2002";"June";"1189"
"2002";"10";"2002";"June";"5916"
"2002";"11";"2002";"June";"778"
"2002";"12";"2002";"June";"2199"
"2002";"13";"2002";"June";"2799"
"2002";"14";"2002";"July";"2915"
"2002";"15";"2002";"July";"2927"
"2002";"16";"2002";"July";"4229"
"2002";"17";"2002";"July";"5549"
"2002";"18";"2002";"Aug ";"7439"
"2002";"19";"2002";"Aug ";"6392"
"2002";"20";"2002";"Aug ";"5551"
"2002";"21";"2002";"Aug ";"6608"
"2002";"22";"2002";"Sept";"6024"
"2002";"23";"2002";"Sept";"1999"
"2002";"24";"2002";"Sept";"1371"
"2002";"25";"2002";"Sept";"925"
"2002";"26";"2002";"Sept";"1086"
"2002";"27";"2002";"Oct ";"869"
"2002";"28";"2002";"Oct ";"1601"
"2002";"29";"2002";"Oct ";"1667"
"2002";"30";"2002";"Oct ";"6609"
"2002";"31";"2002";"Nov";"3713"
"2002";"32";"2002";"Nov";"1104"
"2002";"33";"2002";"Nov";"1622"
"2002";"34";"2002";"Nov";"2377"
"2002";"35";"2002";"Dec";"3158"
"2002";"36";"2002";"Dec";"3033"
"2002";"37";"2002";"Dec";"3690"
"2002";"38";"2002";"Dec";"4583"
"2002";"39";"2002";"Dec";"2959"
"2002";"40";"2003";"Jan";"4542"
"2002";"41";"2003";"Jan";"2923"
"2002";"42";"2003";"Jan";"2973"
"2002";"43";"2003";"Jan";"3307"
"2002";"44";"2003";"Feb";"1238"
"2002";"45";"2003";"Feb";"1216"
"2002";"46";"2003";"Feb";"1483"
"2002";"47";"2003";"Feb";"7898"
"2002";"48";"2003";"March";"5924"
"2002";"49";"2003";"March";"2157"
"2002";"50";"2003";"March";"4247"
"2002";"51";"2003";"March";"4496"
"2002";"52";"2003";"March";"2520"
"2003";"1";"2003";"April";"1463"
