"fakecode";"fakelat";"fakelong"
"NE2 3LD";"54.99575675675676";"-1.6083423423423426"
"DH8 5NB";"54.85665174129359";"-1.8343631840796022"
"NE4 5EQ";"54.976814814814766";"-1.6327259259259252"
"NE33 4AZ";"54.986416243654844";"-1.4296142131979694"
"NE30 1DE";"55.01094174757289";"-1.4400582524271834"
"NE30 1DE";"55.01094174757289";"-1.4400582524271834"
"NE5 1TU";"55.00084753363235";"-1.714874439461884"
"NE3 1AR";"55.007152777777755";"-1.6117037037037054"
"NE30 1DE";"55.01094174757289";"-1.4400582524271834"
"NE47 7JE";"54.98047191011236";"-2.356303370786516"
"NE1 6NA";"54.973696969696995";"-1.6082575757575757"
"NE28 7JG";"54.99856632653067";"-1.5171122448979577"
"NE29 6EJ";"55.003297979797885";"-1.4558888888888897"
"NE6 5LJ";"54.986577981651415";"-1.5775825688073402"
"NE6 3NP";"54.97059459459465";"-1.5480864864864858"
"NE8 1NL";"54.95830909090911";"-1.6057575757575762"
"NE6 1PL";"54.975515384615406";"-1.580915384615384"
"DH1 5PJ";"54.79927018633548";"-1.5786055900621117"
"SR2 7HE";"54.898190476190415";"-1.3870173160173163"
"NE23 2FJ";"55.09153773584904";"-1.5720566037735837"
"NE34 6DU";"54.98025263157897";"-1.4078789473684203"
"NE32 5PR";"54.97151666666665";"-1.489720833333335"
"NE2 3LD";"54.99575675675676";"-1.6083423423423426"
"E2  7RG";"51.52898850574719";"-0.07016091954022993"
"NE35 9LN";"54.95211111111114";"-1.459769841269841"
"NE35 9LN";"54.95211111111114";"-1.459769841269841"
"NE34 9SE";"54.966928251120976";"-1.4509596412556054"
"DL13 3BJ";"54.71256804733717";"-1.864491124260355"
"DL13 3BJ";"54.71256804733717";"-1.864491124260355"
"YO23 1NW";"53.95025136612014";"-1.086584699453552"
"NE7 7PL";"55.00011643835617";"-1.5787226027397256"
"NE61 1HT";"55.16962264150945";"-1.6878962264150958"
"DL3 7TZ";"54.52587777777771";"-1.5600833333333342"
"NE30 4JR";"55.023068027210904";"-1.4282517006802722"
"NE3 1AR";"55.007152777777755";"-1.6117037037037054"
"NE46 4EZ";"55.01172000000003";"-2.109462222222224"
"NE16 6QQ";"54.90639024390251";"-1.7302560975609764"
"DL15 0EQ";"54.7093076923076";"-1.6955269230769223"
"DH1 1DS";"54.78525688073398";"-1.5471376146788998"
"NE4 9EP";"54.982168181818146";"-1.6541318181818179"
