"Sex";"fakecode";"fakelat";"fakelong";"PatronType";"PatronID";"EMAI/Venue";"EMAI/Third Patry";"PHON/Venue";"PHON/Third Patry";"POST/Venue";"POST/Third Patry";"SMS/Venue";"SMS/Third Patry";"SOCI/Venue";"SOCI/Third Patry"
NULL;"CA10 3LH";"54.5191004";"-2.6274603";"Adult";"100268";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"101810";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";NULL;NULL;NULL;"Adult";"101887";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
"M";NULL;NULL;NULL;"Adult";"101895";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
"F";NULL;NULL;NULL;"Adult";"135";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
NULL;"PR2 2SJ";"53.7675673";"-2.7258606";"Adult";"101245";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"LA1 5PA";"54.0477115";"-2.8129192";"Adult";"103095";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"C";NULL;NULL;NULL;"Adult";"100186";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";NULL;NULL;NULL;"Adult";"103096";"Y";"N";"Y";"N";"N";"N";"N";"N";"N";"N"
"F";"PR3 1HZ";"53.9068429";"-2.7624231";"Adult";"100397";"Y";"Y";"N";"N";"Y";"Y";"N";"N";"N";"N"
"F";"BD24 9LP";"54.0748693";"-2.2727337";"Adult";"101106";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"BA12 9HS";"51.2019133";"-2.1726071";"Adult";"100542";"Y";"Y";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Adult";"243";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;"CH41 6JB";"53.3936494";"-3.0208961";"Adult";"101258";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";NULL;NULL;NULL;"Adult";"101904";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
"F";NULL;NULL;NULL;"Adult";"101905";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
"F";NULL;NULL;NULL;"Adult";"103704";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"103097";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"M";"LA4 5PU";"54.0725914";"-2.8542724";"Adult";"310";"Y";"Y";"Y";"N";"Y";"Y";"N";"N";"N";"N"
"F";"M28 2TT";"53.5070092";"-2.3724055";"Adult";"103098";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Adult";"101910";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
"M";"PR2 9WH";"53.7908375";"-2.6979167";"Senior ";"365";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"372";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";"LA1 5PA";"54.0477115";"-2.8129192";"Adult";"405";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"445";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA4 6RN";"54.0741967";"-2.8349795";"Adult";"102632";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 1PS";"54.049537";"-2.7996342";"Adult";"455";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"M";"SM6 0NF";"51.3575964";"-0.1503373";"Adult";"101959";"Y";"Y";"N";"N";"Y";"N";"N";"N";"Y";"N"
"M";"MK43 8TT";"52.1469711";"-0.5589628";"Adult";"103102";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
"F";"M27 6HJ";"53.5223032";"-2.3388839";"Adult";"102619";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
"F";"LA12 7PU";"54.2065";"-3.0903819";"Adult";"500";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";"L39 2XP";"53.5698769";"-2.8775077";"Adult";"6228";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";"LA2 6BQ";"54.0839557";"-2.7861084";"Adult";"101073";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"102886";"Y";"Y";"Y";"N";"N";"N";"N";"N";"N";"N"
"F";"LA2 7HX";"54.1170974";"-2.5192143";"Adult";"102295";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Adult";"5625";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"103705";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
"F";"PR7 6LF";"53.666474";"-2.6756458";"Adult";"102616";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"101970";"N";"?";"N";"?";"Y";"?";"?";"?";"?";"?"
"F";"LA1 1PS";"54.049537";"-2.7996342";"Adult";"105300";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"PR3 5DP";"53.818058";"-2.7267971";"Adult";"100269";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";NULL;NULL;NULL;"Adult";"101972";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"102620";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Adult";"102299";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
"F";"L39 4TT";"53.5628475";"-2.8867034";"Adult";"102882";"Y";"N";"Y";"N";"N";"N";"N";"N";"N";"N"
