"Sex";"fakecode";"fakelat";"fakelong";"PatronType";"PatronID";"EMAI/Venue";"EMAI/Third Patry";"PHON/Venue";"PHON/Third Patry";"POST/Venue";"POST/Third Patry";"SMS/Venue";"SMS/Third Patry";"SOCI/Venue";"SOCI/Third Patry"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Adult";"102555";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"M";"PR3 1HZ";"53.9068429";"-2.7624231";"Adult";"103094";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";NULL;NULL;NULL;"Adult";"100074";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA1 5PA";"54.0477115";"-2.8129192";"Adult";"102802";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";NULL;NULL;NULL;"Adult";"102327";"Y";"N";"N";"N";"N";"N";"Y";"N";"N";"N"
NULL;"LA5 9HG";"54.1378168";"-2.7678132";"Adult";"50";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";"PR3 1HZ";"53.9068429";"-2.7624231";"Adult";"52";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"PR4 5YT";"53.7262091";"-2.7807909";"Adult";"84";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
"M";"LS29 8NN";"53.9258056";"-1.8080119";"Adult";"102701";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA2 7LT";"54.1065596";"-2.5083731";"Adult";"100262";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;"PR5 6NR";"53.7294023";"-2.6574883";"Adult";"103071";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"104313";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA2 7LT";"54.1065596";"-2.5083731";"Adult";"124";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"M";"FY2 0LY";"53.8469806";"-3.0319677";"Adult";"102646";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"N";"N"
"F";NULL;NULL;NULL;"Adult";"135";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
"M";"LA6 2BB";"54.205825";"-2.5969083";"Adult";"140";"N";"N";"N";"N";"Y";"Y";"N";"N";"N";"N"
"F";"LA4 6RN";"54.0741967";"-2.8349795";"Adult";"103703";"Y";"Y";"Y";"Y";"Y";"N";"Y";"Y";"Y";"N"
"F";"LA2 7HX";"54.1170974";"-2.5192143";"Adult";"147";"Y";"Y";"N";"N";"Y";"Y";"N";"N";"N";"N"
"F";"FY6 8HP";"53.8400329";"-2.9789737";"Adult";"102794";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 5PA";"54.0477115";"-2.8129192";"Adult";"7300";"Y";"N";"N";"N";"Y";"Y";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"102520";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"103082";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"PR3 6SR";"53.9082651";"-2.9008916";"Adult";"185";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
NULL;"LA2 0NU";"53.9922216";"-2.7988144";"Adult";"102538";"Y";"Y";"Y";"N";"N";"N";"Y";"N";"Y";"N"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Adult";"204";"N";"?";"N";"?";"N";"?";"?";"?";"?";"?"
NULL;"FY6 8HP";"53.8400329";"-2.9789737";"Adult";"103062";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"FY6 0EE";"53.9196633";"-2.9697789";"Adult";"104315";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"M";"CH64 0UJ";"53.2802727";"-3.0612121";"Adult";"103115";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"M";"CH64 0UJ";"53.2802727";"-3.0612121";"Adult";"100948";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 5PA";"54.0477115";"-2.8129192";"Adult";"101116";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"BB18 5AF";"53.9155513";"-2.1869049";"Adult";"101903";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"PR3 0TB";"53.882743";"-2.7994458";"Adult";"238";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA3 3ES";"54.0474118";"-2.8564615";"Adult";"102854";"Y";"Y";"N";"N";"Y";"Y";"N";"N";"N";"N"
NULL;"LA10 5JR";"54.3151607";"-2.4935491";"Adult";"102605";"Y";"N";"Y";"N";"N";"N";"N";"N";"N";"N"
NULL;"FY8 4JX";"53.7483923";"-2.9761462";"Adult";"100593";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA2 0NU";"53.9922216";"-2.7988144";"Adult";"100583";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"LA17 7UL";"54.2400847";"-3.1745932";"Adult";"103759";"N";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Adult";"104319";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Adult";"102783";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Adult";"102939";"Y";"N";"Y";"N";"Y";"Y";"Y";"N";"Y";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"104997";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Adult";"293";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;"PR1 9LD";"53.7397071";"-2.7133143";"Adult";"292";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"103097";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
