"Sex";"fakecode";"fakelat";"fakelong";"PatronType";"PatronID";"EMAI/Venue";"EMAI/Third Patry (i.e. Promoter or Partner)";"PHON/Venue";"PHON/Third Patry (i.e. Promoter or Partner)";"POST/Venue";"POST/Third Patry (i.e. Promoter or Partner)";"SMS/Venue";"SMS/Third Patry (i.e. Promoter or Partner)";"SOCI/Venue";"SOCI/Third Patry (i.e. Promoter or Partner)"
NULL;NULL;NULL;NULL;"Active Booker";"105276";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102824";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Lapsed Booker";"102555";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"M";"PR3 1HZ";"53.9068429";"-2.7624231";"Lapsed Booker";"103094";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Active Booker";"105159";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"101810";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";NULL;NULL;NULL;"Active Booker";"100074";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Student";"104576";"Y";"N";"N";"N";"N";"N";"Y";"N";"N";"N"
NULL;"LA1 5PA";"54.0477115";"-2.8129192";"Active Booker";"102802";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Student";"102327";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA5 9HG";"54.1378168";"-2.7678132";"Lapsed Booker";"50";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";"PR3 1HZ";"53.9068429";"-2.7624231";"Active Booker";"52";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"BB5 6HG";"53.7616329";"-2.3520464";"Active Booker";"105064";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"M";NULL;NULL;NULL;"Lapsed Booker";"102857";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102760";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA2 0NU";"53.9922216";"-2.7988144";"Active Booker";"104830";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Active Booker";"105135";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"M";"LS24 9DA";"53.8595164";"-1.255";"Student";"104257";"Y";"Y";"N";"N";"Y";"N";"N";"N";"Y";"N"
NULL;"G3  7HH";"55.864736";"-4.2819289";"Student";"83";"Y";"?";"N";"?";"N";"?";"?";"?";"?";"?"
NULL;"PR4 5YT";"53.7262091";"-2.7807909";"Lapsed Booker";"84";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
"M";"LS29 8NN";"53.9258056";"-1.8080119";"Lapsed Booker";"102701";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA2 7LT";"54.1065596";"-2.5083731";"Active Booker";"100262";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Active Booker";"105077";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"PR1 6PR";"53.7714136";"-2.6888796";"Student";"104986";"Y";"Y";"N";"N";"Y";"Y";"N";"N";"N";"N"
"M";"CW1 5QA";"53.100214";"-2.4036114";"Regular Booker";"103677";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"PR5 6NR";"53.7294023";"-2.6574883";"Lapsed Booker";"103071";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA1 5PA";"54.0477115";"-2.8129192";"Student";"112";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Student";"104313";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA2 7LT";"54.1065596";"-2.5083731";"Lapsed Booker";"124";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";NULL;NULL;NULL;"Lapsed Booker";"102763";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";NULL;NULL;NULL;"Student";"101895";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
"M";"FY2 0LY";"53.8469806";"-3.0319677";"Lapsed Booker";"102646";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"N";"N"
"F";NULL;NULL;NULL;"Active Booker";"135";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
"M";"LA6 2BB";"54.205825";"-2.5969083";"Regular Booker";"140";"N";"N";"N";"N";"Y";"Y";"N";"N";"N";"N"
"F";"BB8 9RU";"53.8598351";"-2.1739149";"Active Booker";"104309";"Y";"N";"N";"N";"Y";"Y";"Y";"Y";"Y";"N"
"F";"LA4 6RN";"54.0741967";"-2.8349795";"Regular Booker";"103703";"Y";"Y";"Y";"Y";"Y";"N";"Y";"Y";"Y";"N"
NULL;"CW11 3FX";"53.1441634";"-2.3922723";"Student";"104314";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";"LA2 7HX";"54.1170974";"-2.5192143";"Lapsed Booker";"147";"Y";"Y";"N";"N";"Y";"Y";"N";"N";"N";"N"
NULL;"LA1 1PS";"54.049537";"-2.7996342";"Student";"104862";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";"FY6 8HP";"53.8400329";"-2.9789737";"Lapsed Booker";"102794";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"PR2 2SJ";"53.7675673";"-2.7258606";"Active Booker";"104456";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA1 5PA";"54.0477115";"-2.8129192";"Regular Booker";"7300";"Y";"N";"N";"N";"Y";"Y";"N";"N";"N";"N"
NULL;"BB2 7HE";"53.7690235";"-2.5234824";"Active Booker";"104238";"Y";"Y";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"M";"LA1 5PA";"54.0477115";"-2.8129192";"Student";"105730";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Student";"104886";"Y";"Y";"N";"N";"N";"N";"Y";"N";"N";"N"
NULL;"HA6 3HS";"51.6176567";"-0.4147164";"Active Booker";"105189";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"102520";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"103082";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Student";"105156";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
