"Sex";"fakecode";"fakelat";"fakelong";"PatronType";"PatronID";"EMAI/Venue";"EMAI/Third Patry (i.e. Promoter or Partner)";"PHON/Venue";"PHON/Third Patry (i.e. Promoter or Partner)";"POST/Venue";"POST/Third Patry (i.e. Promoter or Partner)";"SMS/Venue";"SMS/Third Patry (i.e. Promoter or Partner)";"SOCI/Venue";"SOCI/Third Patry (i.e. Promoter or Partner)";"TotalTicketCount"
;"LA4 4PE";"54.06708764940214";"-2.8655258964143453";"Active Booker";"5272";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?";"77"
;"LA18 4QX";"54.20791176470581";"-3.275894117647057";"Active Booker";"105478";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"60"
;"LA2 7LT";"54.10655958549221";"-2.508373056994819";"Regular Booker";"3648";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"48"
"C";;"0";"0";"Lapsed Booker";"101105";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"42"
"F";"LA5 0SN";"54.18670238095232";"-2.827184523809525";"Active Booker";"3907";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"42"
;"LA18 5EZ";"54.228516129032286";"-3.2739596774193545";"Lapsed Booker";"5099";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"40"
"M";"PR3 0TB";"53.8827429718875";"-2.7994457831325272";"Regular Booker";"1002";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"38"
"M";"LA1 5PA";"54.0477115384615";"-2.8129192307692312";"Active Booker";"2923";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"37"
;"LA1 5PA";"54.0477115384615";"-2.8129192307692312";"Regular Booker";"7300";"Y";"N";"N";"N";"Y";"Y";"N";"N";"N";"N";"36"
;"LA1 3EY";"54.05044843049326";"-2.786843049327352";"Active Booker";"1080";"N";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"36"
;"PR2 6BH";"53.77815750915755";"-2.6613736263736234";"Student";"104305";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"36"
