"Sex";"fakecode";"fakelat";"fakelong";"PatronType";"PatronID";"EMAI/Venue";"EMAI/Third Patry (i.e. Promoter or Partner)";"PHON/Venue";"PHON/Third Patry (i.e. Promoter or Partner)";"POST/Venue";"POST/Third Patry (i.e. Promoter or Partner)";"SMS/Venue";"SMS/Third Patry (i.e. Promoter or Partner)";"SOCI/Venue";"SOCI/Third Patry (i.e. Promoter or Partner)";"TotalPaymentValue"
"C";;;;"Lapsed Booker";"102724";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"1456.00"
;"LA2 7LT";"54.1065596";"-2.5083731";"Regular Booker";"3648";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"554.40"
"M";"PR3 0TB";"53.882743";"-2.7994458";"Regular Booker";"1002";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"547.50"
"M";"LA1 5PA";"54.0477115";"-2.8129192";"Active Booker";"2923";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"532.50"
;"LA4 4PE";"54.0670876";"-2.8655259";"Active Booker";"5272";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?";"490.00"
"M";;;;"Regular Booker";"2517";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"448.00"
;"LA2 9ES";"54.0461848";"-2.7098815";"Active Booker";"5144";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"436.00"
;"LA1 3EY";"54.0504484";"-2.786843";"Active Booker";"1701";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"428.90"
"F";"LA5 0SN";"54.1867024";"-2.8271845";"Active Booker";"3907";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"415.70"
;"FY5 3RS";"53.8696679";"-3.0293582";"Active Booker";"102656";"Y";"Y";"N";"N";"Y";"Y";"N";"N";"N";"N";"404.14"
;"LA1 5PA";"54.0477115";"-2.8129192";"Regular Booker";"102246";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"388.80"
"F";"LA2 7LT";"54.1065596";"-2.5083731";"Regular Booker";"4349";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"388.80"
;"LA18 4QX";"54.2079118";"-3.2758941";"Active Booker";"105478";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"385.00"
"M";"LA2 6BQ";"54.0839557";"-2.7861084";"Regular Booker";"2275";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"376.00"
;"PR4 3HD";"53.7998213";"-2.8807787";"Regular Booker";"4386";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"376.00"
;"LA1 5PA";"54.0477115";"-2.8129192";"Regular Booker";"5319";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"376.00"
"M";"PR3 2WD";"53.8518333";"-2.6171869";"Active Booker";"3384";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"N";"N";"371.90"
;"LA1 3EY";"54.0504484";"-2.786843";"Active Booker";"1080";"N";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"363.20"
"F";"PR3 0TB";"53.882743";"-2.7994458";"Active Booker";"2845";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"349.20"
;"PR3 1HZ";"53.9068429";"-2.7624231";"Active Booker";"103752";"Y";"Y";"Y";"N";"Y";"Y";"Y";"N";"Y";"N";"342.98"
;"LA1 5PA";"54.0477115";"-2.8129192";"Regular Booker";"7300";"Y";"N";"N";"N";"Y";"Y";"N";"N";"N";"N";"331.20"
;"LA4 6RN";"54.0741967";"-2.8349795";"Regular Booker";"677";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"331.20"
;"LA1 4EP";"54.0322724";"-2.7906442";"Active Booker";"830";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"331.20"
;"LA1 4EP";"54.0322724";"-2.7906442";"Regular Booker";"1417";"N";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"331.20"
;"LA2 6BQ";"54.0839557";"-2.7861084";"Active Booker";"1457";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"331.20"
"M";"PR2 9WH";"53.7908375";"-2.6979167";"Regular Booker";"1497";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"331.20"
;"LA1 4EP";"54.0322724";"-2.7906442";"Regular Booker";"1808";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"331.20"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Regular Booker";"3868";"Y";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"331.20"
"M";"LA1 1PS";"54.049537";"-2.7996342";"Active Booker";"102281";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"331.20"
;"LA1 1PS";"54.049537";"-2.7996342";"Regular Booker";"100257";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"331.20"
;"LA1 2NE";"54.0618975";"-2.8037951";"Active Booker";"100530";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"309.00"
;"LA18 5EZ";"54.2285161";"-3.2739597";"Lapsed Booker";"5099";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"288.00"
"M";"PR2 8EZ";"53.7821337";"-2.6966512";"Active Booker";"105714";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"282.45"
;"LA1 1PS";"54.049537";"-2.7996342";"Active Booker";"4616";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"271.50"
;"DL2 3HE";"54.5650131";"-1.7562969";"Active Booker";"3673";"N";"N";"N";"N";"Y";"Y";"N";"N";"N";"N";"260.45"
