"branch";"author";"title";"class";"fakecode";"fakelat";"fakelong"
"36";"Kyte, Thomas";"Effective Oracle by Design : Design and Build Hi";"5.7580";"NE5 3EB";"54.9959224";"-1.664498"
"36";"Millsap, Cary";"Optimizing Oracle performance";"5.7560";"NE5 3EB";"54.9959224";"-1.664498"
"36";"Forsyth, Neil";"Delete this at your peril";"4.6920";"NE6 5LJ";"54.986578";"-1.5775826"
"36";"Johnson, Steve";"Brilliant Microsoft Windows Vista : covers Servi";"5.4460";"NE2 1NQ";"54.9828735";"-1.5974036"
"4";"Pogue, David";"Windows XP home edition : the missing manual";"5.4460";"NE2 4AB";"54.9839327";"-1.620875"
"36";"Hoole, Gavin";"Really, really, really easy step-by-step compute";"4.0000";"NE30 2ER";"55.0192488";"-1.4405572"
"1";NULL;"Laptops and mobile devices made easy";"4.1600";"NE20 9RA";"55.0435056";"-1.7516105"
"36";"Criddle, Linda";"Using the Internet safely for seniors for dummie";"4.6780";"NE6 2LD";"54.9747647";"-1.5693971"
"7";"Austin, Brian";"Web Page design in easy steps";"5.7200";"NE7 7PL";"55.0001164";"-1.5787226"
"7";"McGrath, Mike";"HTML in easy steps";"5.7200";"NE7 7PL";"55.0001164";"-1.5787226"
"35";"Matthews, Martin S.";"Microsoft Office 2007";"5.5000";"NE6 5LJ";"54.986578";"-1.5775826"
"4";"Ballew, Joli";"Laptop basics : Microsoft Windows 7 version";"5.4460";"NE2 3LD";"54.9957568";"-1.6083423"
"36";"Edney, Andrew";"Introduction to the iPad 2.";"4.1650";"NE6 4XY";"54.9836239";"-1.5508982"
"4";"Beattie, Rob";"Office 2007 handbook";"5.5000";"NE2 1NQ";"54.9828735";"-1.5974036"
"4";"Chambers, Mark L.";"Macs for seniors for dummies";"4.1650";"NE2 3LD";"54.9957568";"-1.6083423"
"3";"Leonhard, Woody";"Windows 7 all-in-one for dummies";"5.4460";"NE5 2SY";"54.9899786";"-1.6833345"
"3";"Plumley, Sue";"Home networking bible";"4.6500";"NE5 2SY";"54.9899786";"-1.6833345"
"3";"Holden, Greg";"Brilliant home & wireless networking";"4.6800";"NE5 2SY";"54.9899786";"-1.6833345"
"3";"Jelen, Bill";"Microsoft Office Excel 2007 in depth";"5.5400";"NE5 2SY";"54.9899786";"-1.6833345"
"3";"Johnson, Steve";"Brilliant Microsoft Windows 7";"5.4460";"NE5 2SY";"54.9899786";"-1.6833345"
"3";"Ballew, Joli";"Laptop basics : Microsoft Windows 7 version";"5.4460";"NE3 4XN";"55.0029962";"-1.6345623"
"3";NULL;"PC problem solver";"4.1600";"NE3 4XN";"55.0029962";"-1.6345623"
"3";"Karp, David A.";"Windows Vista annoyances for geeks";"5.4460";"NE3 4XN";"55.0029962";"-1.6345623"
"3";"Pountain, Dick";"New Penguin dictionary of computing";"4.0300";"NE3 4XN";"55.0029962";"-1.6345623"
"3";"Holden, Greg";"Brilliant home & wireless networking";"4.6800";"NE3 4XN";"55.0029962";"-1.6345623"
"3";"Miller, Michael";"Easy computer basics";"4.1600";"NE3 4XN";"55.0029962";"-1.6345623"
"3";"Bride, Mac";"Get started in Windows 7";"5.4460";"NE3 4XN";"55.0029962";"-1.6345623"
"36";"Harvey, Greg";"Excel 2007 all-in-one desk reference for dummies";"5.5400";"NE3 3TB";"55.0091977";"-1.6459574"
"36";"Alonso, Gustavo";"Web services";"5.7200";"NE3 4XN";"55.0029962";"-1.6345623"
"36";"Monson-Haefel, Richard";"J2EE Web services";"5.7120";"NE3 4XN";"55.0029962";"-1.6345623"
"36";"Joseph, Joshy";"Grid computing";"4.3600";"NE3 4XN";"55.0029962";"-1.6345623"
"4";"Stephen, Moira";"Teach yourself basic computer skills";"4.1600";"NE2 2RR";"54.9919918";"-1.6003689"
"36";"Hart-Davis, Guy";"How to do everything with Microsoft Office Word";"5.5200";"NE40 3HQ";"54.9729198";"-1.7608523"
"4";"Johnson, Steve";"Brilliant Microsoft Windows XP";"5.4460";"NE2 2RR";"54.9919918";"-1.6003689"
"1";"Criddle, Linda";"Using the Internet safely for seniors for dummie";"4.6780";"NE5 1TU";"55.0008475";"-1.7148744"
"1";"Levine, John R.";"Internet for dummies";"4.6780";"NE5 1TU";"55.0008475";"-1.7148744"
"1";"McBride, P. K.";"Brilliant Internet for the over 50s";"4.6780";"NE5 1TU";"55.0008475";"-1.7148744"
"23";"Overland, Brian R.";"C++ without fear : a beginner's guide that makes";"5.1330";"NE4 6JG";"54.9719748";"-1.6344969"
"4";"Buckley, Peter";"Rough guide to the Internet";"4.6780";"NE2 2RR";"54.9919918";"-1.6003689"
"9";"Rathbone, Andy";"Windows Vista for dummies";"5.4460";"NE16 5QN";"54.9331633";"-1.6842267"
"9";"McBride, P. K.";"Brilliant computing for the over 50s";"4.1600";"NE16 5QN";"54.9331633";"-1.6842267"
"9";"Stephen, Moira";"Basic computer skills";"4.1600";"NE16 5QN";"54.9331633";"-1.6842267"
"36";"McBride, P. K.";"Brilliant Internet for the over 50s";"4.6780";"NE25 0QA";"55.0726947";"-1.5194912"
"14";"Kantaris, Noel";"Introduction to Windows 7";"5.4460";"NE15 6NF";"54.974351";"-1.6753841"
"14";"Buckley, Peter";"Rough guide to the Internet";"4.6780";"NE15 6NF";"54.974351";"-1.6753841"
"14";"Holden, Greg";"Using the Internet for the over 50s";"4.6780";"NE15 6NF";"54.974351";"-1.6753841"
"36";"Sherman, Jackie";"Essential computing skills for working women or";"4.1600";"NE3 3TB";"55.0091977";"-1.6459574"
"20";"Boucher, Caroline";"How to do just about anything on a computer";"4.1600";"NE15 6NF";"54.974351";"-1.6753841"
"20";"Levine, John R.";"Internet for dummies";"4.6780";"NE15 6NF";"54.974351";"-1.6753841"
"35";"Levine, John R.";"Internet for dummies";"4.6780";"NE6 5LJ";"54.986578";"-1.5775826"
"36";"Casad, Joe";"Sams teach yourself TCP/IP in 24 hours";"4.6200";"NE8 4NP";"54.9511256";"-1.6065377"
"36";"Price, Sue";"New CLAIT in easy steps";"4.0000";"NE3 2DW";"55.0225464";"-1.6195574"
"36";"Reeves, Bob";"Internet and email for the over 50s";"4.6780";"NE32 5PR";"54.9715167";"-1.4897208"
"9";"Johnson, Steve";"Brilliant Microsoft Office 2007";"5.5000";"NE15 6NF";"54.974351";"-1.6753841"
"99";NULL;"Computing made easy for the overs 50s : Windows";"4.0840";"NE5 1TU";"55.0008475";"-1.7148744"
"36";"Smith, Bud E.";"Laptops for the older and wiser : getting up and";"4.1600";"NE2 4AB";"54.9839327";"-1.620875"
"36";"McFedries, Paul";"Teach yourself visually computers";"4.1600";"NE5 4DW";"55.0059111";"-1.6856611"
"36";NULL;"Reader's Digest beginner's guide to home computi";"5.4460";"NE5 4DW";"55.0059111";"-1.6856611"
"36";"Cooper, Brian";"Searching the Internet";"4.6780";"NE5 4DW";"55.0059111";"-1.6856611"
"36";"Gatenby, James";"Introduction to the Internet for the older gener";"4.6780";"NE5 4DW";"55.0059111";"-1.6856611"
"36";"Tomlin, Ian";"Cloud coffee house : the birth of cloud social n";"4.3600";"NE27 0NF";"55.0344612";"-1.5120155"
