"branch";"author";"title";"fakecode";"fakelat";"fakelong"
"2";"Patterson, James";"Christmas wedding";"NE3 2SL";"55.01723";"-1.6492613"
"19";"Patterson, James";"Cross country";"NE13 7BA";"55.0470845";"-1.6490493"
"19";"Patterson, James";"Step on a crack";"NE13 7BA";"55.0470845";"-1.6490493"
"11";"Patterson, James";"Don't blink";"NE5 4DW";"55.0059111";"-1.6856611"
"20";"Patterson, James";"7th heaven";"NE5 2SY";"54.9899786";"-1.6833345"
"2";"Patterson, James";"Judge and jury";"NE3 2SL";"55.01723";"-1.6492613"
"2";"Patterson, James";"Sail";"NE3 2SL";"55.01723";"-1.6492613"
"35";"Patterson, James";"Alex Cross's trial";"NE6 2LD";"54.9747647";"-1.5693971"
"36";"Patterson, James";"Private games";"NE6 5LJ";"54.986578";"-1.5775826"
"36";"Patterson, James";"Don't blink";"NE6 5LJ";"54.986578";"-1.5775826"
"14";"Patterson, James";"9th Judgement";"NE4 7RU";"54.9661468";"-1.6362294"
"14";"Patterson, James";"Kill me if you can";"NE4 7RU";"54.9661468";"-1.6362294"
"14";"Patterson, James";"Daniel X - watch the skies";"NE4 6JG";"54.9719748";"-1.6344969"
"36";"Patterson, James";"7th heaven";"SR8 5LL";"54.7624451";"-1.3302143"
"36";"Patterson, James";"Now you see her";"NE22 5PU";"55.1345044";"-1.5804868"
"35";"Patterson, James";"I, Alex Cross";"NE6 2LD";"54.9747647";"-1.5693971"
"35";"Patterson, James";"Now you see her";"NE6 2LD";"54.9747647";"-1.5693971"
"3";"Patterson, James";"Gift";"NE1 6PY";"54.9742805";"-1.5994268"
"35";"Patterson, James";"Step on a crack";"NE6 5LJ";"54.986578";"-1.5775826"
"36";"Patterson, James";"Quickie";"NE6 4XY";"54.9836239";"-1.5508982"
"36";"Patterson, James";"Run for your life";"NE6 4XY";"54.9836239";"-1.5508982"
"35";"Patterson, James";"7th heaven";"NE6 5LJ";"54.986578";"-1.5775826"
"12";"Patterson, James";"1st to die";"NE15 9ED";"54.9955085";"-1.7503107"
"12";"Patterson, James";"Christmas wedding";"NE15 8UQ";"54.9833921";"-1.7225947"
"1";"Patterson, James";"9th Judgement";"NE15 8UQ";"54.9833921";"-1.7225947"
"1";"Patterson, James";"Postcard killers";"NE15 8UQ";"54.9833921";"-1.7225947"
"1";"Patterson, James";"Quickie";"NE15 8UQ";"54.9833921";"-1.7225947"
"36";"Patterson, James";"London bridges";"NE6 4XY";"54.9836239";"-1.5508982"
"4";"Patterson, James";"Cross fire";"NE2 3LD";"54.9957568";"-1.6083423"
"4";"Patterson, James";"Private";"NE3 1AR";"55.0071528";"-1.6117037"
"3";"Patterson, James";"Cross fire";"NE3 2SL";"55.01723";"-1.6492613"
"3";"Patterson, James";"Cross Country";"NE5 2SY";"54.9899786";"-1.6833345"
"3";"Patterson, James";"9th Judgement";"NE5 2SY";"54.9899786";"-1.6833345"
"3";"Patterson, James";"Postcard killers";"NE5 2SY";"54.9899786";"-1.6833345"
"3";"Patterson, James";"Don't blink";"NE5 2SY";"54.9899786";"-1.6833345"
"3";"Patterson, James";"Quickie";"NE5 2SY";"54.9899786";"-1.6833345"
"15";"Patterson, James";"Toys";"NE3 2SL";"55.01723";"-1.6492613"
"5";"Patterson, James";"Don't Blink";"NE3 3TB";"55.0091977";"-1.6459574"
"21";"Patterson, James";"Private games";"NE7 7PL";"55.0001164";"-1.5787226"
"21";"Patterson, James";"7th heaven";"NE4 6JG";"54.9719748";"-1.6344969"
"21";"Patterson, James";"Cross Country";"NE4 6JG";"54.9719748";"-1.6344969"
"21";"Patterson, James";"9th judgement";"NE4 6JG";"54.9719748";"-1.6344969"
"21";"Patterson, James";"Alex Cross's trial";"NE4 6JG";"54.9719748";"-1.6344969"
"21";"Patterson, James";"Postcard killers";"NE4 6JG";"54.9719748";"-1.6344969"
"4";"Patterson, James";"Kill me if you can";"NE2 3LD";"54.9957568";"-1.6083423"
"4";"Patterson, James";"9th Judgement";"NE2 3LD";"54.9957568";"-1.6083423"
"4";"Patterson, James";"Postcard killers";"NE2 2RR";"54.9919918";"-1.6003689"
"11";"Patterson, James";"1st to die";"NE5 4DW";"55.0059111";"-1.6856611"
"11";"Patterson, James";"Tick, tock";"NE5 4DW";"55.0059111";"-1.6856611"
"11";"Patterson, James";"Now you see her";"NE5 4DW";"55.0059111";"-1.6856611"
