"branch";"branchname";"registered";"fakecode";"fakelat";"fakelong"
"36";"CITY";"40911.36616898148";NULL;NULL;NULL
"5";"KENTON";"40911.38199074074";"NE3 3TB";"55.0091977";"-1.6459574"
"36";"CITY";"40911.38768518518";"NE6 2LD";"54.9747647";"-1.5693971"
"7";"HIGH HEATON";"40911.38978009259";"NE6 4XY";"54.9836239";"-1.5508982"
"2";"GOSFORTH";"40911.39186342592";"NE3 2DW";"55.0225464";"-1.6195574"
"15";"FAWDON";"40911.39346064815";"NE3 4XN";"55.0029962";"-1.6345623"
"36";"CITY";"40911.39533564815";"DL17 8DS";"54.6886538";"-1.550726"
"5";"KENTON";"40911.39546296297";"NE3 2DW";"55.0225464";"-1.6195574"
"12";"NEWBURN";"40911.39856481482";NULL;NULL;NULL
"12";"NEWBURN";"40911.40388888889";"NE15 9ED";"54.9955085";"-1.7503107"
"7";"HIGH HEATON";"40911.40659722222";"NE6 5LJ";"54.986578";"-1.5775826"
"6";"WALKER";"40911.40913194444";"NE6 1PL";"54.9755154";"-1.5809154"
"35";"EAST END";"40911.41148148148";"NE6 2LD";"54.9747647";"-1.5693971"
"7";"HIGH HEATON";"40911.41409722222";"NE6 4XY";"54.9836239";"-1.5508982"
"6";"WALKER";"40911.41665509259";"NE6 4XY";"54.9836239";"-1.5508982"
"6";"WALKER";"40911.41956018518";"NE6 2LD";"54.9747647";"-1.5693971"
"36";"CITY";"40911.42108796296";"NE21 6PJ";"54.9523763";"-1.7264677"
"3";"FENHAM";"40911.42142361111";"NE4 8AH";"54.9718675";"-1.6538079"
"3";"FENHAM";"40911.42292824074";"NE4 8AH";"54.9718675";"-1.6538079"
"36";"CITY";"40911.42453703703";"NE3 3TB";"55.0091977";"-1.6459574"
"36";"CITY";"40911.42591435185";"NE6 5LJ";"54.986578";"-1.5775826"
"11";"NEWBIGGIN HALL";"40911.42758101852";"NE5 2SY";"54.9899786";"-1.6833345"
"36";"CITY";"40911.4378125";"NE5 1TU";"55.0008475";"-1.7148744"
"36";"CITY";"40911.43885416666";"NE10 8XJ";"54.943604";"-1.540505"
"2";"GOSFORTH";"40911.44393518518";"NE3 2SL";"55.01723";"-1.6492613"
"7";"HIGH HEATON";"40911.44708333333";"NE6 3NP";"54.9705946";"-1.5480865"
"20";"DENTON BURN";"40911.45178240741";"NE15 7UB";"54.9815404";"-1.6920202"
"6";"WALKER";"40911.45238425926";"NE6 4XY";"54.9836239";"-1.5508982"
"7";"HIGH HEATON";"40911.45348379629";"NE7 7PL";"55.0001164";"-1.5787226"
"7";"HIGH HEATON";"40911.45623842593";"NE6 4XY";"54.9836239";"-1.5508982"
"36";"CITY";"40911.45733796297";"NE15 8UQ";"54.9833921";"-1.7225947"
"7";"HIGH HEATON";"40911.45766203704";"NE3 1AR";"55.0071528";"-1.6117037"
"36";"CITY";"40911.46253472222";"NE6 4XY";"54.9836239";"-1.5508982"
"3";"FENHAM";"40911.46528935185";"NE4 8AH";"54.9718675";"-1.6538079"
"5";"KENTON";"40911.46640046296";"NE3 3TB";"55.0091977";"-1.6459574"
"2";"GOSFORTH";"40911.46813657408";"NE3 4XN";"55.0029962";"-1.6345623"
"36";"CITY";"40911.46822916667";"NE7 7PL";"55.0001164";"-1.5787226"
"2";"GOSFORTH";"40911.46983796296";"NE3 4XN";"55.0029962";"-1.6345623"
"6";"WALKER";"40911.46991898148";"NE6 5LJ";"54.986578";"-1.5775826"
"2";"GOSFORTH";"40911.47127314815";"NE3 4XN";"55.0029962";"-1.6345623"
"7";"HIGH HEATON";"40911.4728125";"NE6 5LJ";"54.986578";"-1.5775826"
"12";"NEWBURN";"40911.47469907408";"NE15 9ED";"54.9955085";"-1.7503107"
"36";"CITY";"40911.47699074074";"NE7 7PL";"55.0001164";"-1.5787226"
"2";"GOSFORTH";"40911.47824074074";"NE3 1AR";"55.0071528";"-1.6117037"
"36";"CITY";"40911.47841435186";"SR4 6QD";"54.9091683";"-1.4106188"
"5";"KENTON";"40911.47976851852";"NE3 1AR";"55.0071528";"-1.6117037"
"36";"CITY";"40911.48266203704";"LE2 5QQ";"52.5968039";"-1.080549"
"36";"CITY";"40911.48310185185";"DH7 0NJ";"54.8235749";"-1.7365314"
"11";"NEWBIGGIN HALL";"40911.48332175926";"NE5 5QJ";"54.9965379";"-1.6989545"
"36";"CITY";"40911.48670138889";"NE2 4AB";"54.9839327";"-1.620875"
"36";"CITY";"40911.49365740741";"NE25 8BH";"55.0391897";"-1.459559"
"36";"CITY";"40911.49461805556";"NE4 7RU";"54.9661468";"-1.6362294"
"36";"CITY";"40911.49707175926";"NE4 7RU";"54.9661468";"-1.6362294"
"35";"EAST END";"40911.49753472222";"NE6 1PL";"54.9755154";"-1.5809154"
"36";"CITY";"40911.50135416666";"NE2 4AB";"54.9839327";"-1.620875"
"7";"HIGH HEATON";"40911.50505787037";"NE6 5LJ";"54.986578";"-1.5775826"
"2";"GOSFORTH";"40911.50587962963";"NE3 4XN";"55.0029962";"-1.6345623"
"36";"CITY";"40911.50663194444";"NE16 5QN";"54.9331633";"-1.6842267"
"2";"GOSFORTH";"40911.50795138889";"NE3 4XN";"55.0029962";"-1.6345623"
"35";"EAST END";"40911.50868055555";"NE7 7PL";"55.0001164";"-1.5787226"
"2";"GOSFORTH";"40911.50916666666";"NE3 4XN";"55.0029962";"-1.6345623"
"36";"CITY";"40911.51023148148";"NE15 8UQ";"54.9833921";"-1.7225947"
"2";"GOSFORTH";"40911.51074074074";"NE3 4XN";"55.0029962";"-1.6345623"
"36";"CITY";"40911.51519675926";"DH8 0NT";"54.8733259";"-1.8479152"
"36";"CITY";"40911.51538194445";"NE2 1NQ";"54.9828735";"-1.5974036"
"36";"CITY";"40911.524375";"NE4 9EP";"54.9821682";"-1.6541318"
"36";"CITY";"40911.52449074074";"NE61 3JL";"55.18379";"-1.7201416"
"3";"FENHAM";"40911.53136574074";"NE4 5EQ";"54.9768148";"-1.6327259"
"35";"EAST END";"40911.53747685185";"NE29 6EJ";"55.003298";"-1.4558889"
"35";"EAST END";"40911.53942129629";"NE29 7JF";"55.0090769";"-1.4725744"
"36";"CITY";"40911.54087962963";"NE27 0NF";"55.0344612";"-1.5120155"
"36";"CITY";"40911.55041666667";"SR7 9QA";"54.819";"-1.3887892"
"9";"WEST END";"40911.55407407408";"NE4 8AH";"54.9718675";"-1.6538079"
"36";"CITY";"40911.55851851852";"NE6 5LJ";"54.986578";"-1.5775826"
"1";"OUTER WEST LIBRARY";"40911.56807870371";"NE15 7UB";"54.9815404";"-1.6920202"
"36";"CITY";"40911.57201388889";"NE8 1NL";"54.9583091";"-1.6057576"
"36";"CITY";"40911.573125";"NE6 4XY";"54.9836239";"-1.5508982"
"35";"EAST END";"40911.57553240741";"NE6 3NP";"54.9705946";"-1.5480865"
"7";"HIGH HEATON";"40911.57939814815";"NE7 7PL";"55.0001164";"-1.5787226"
"35";"EAST END";"40911.58246527778";"NE6 1PL";"54.9755154";"-1.5809154"
"36";"CITY";"40911.60119212963";"NE6 5LJ";"54.986578";"-1.5775826"
"9";"WEST END";"40911.60230324074";"NE4 8AH";"54.9718675";"-1.6538079"
"2";"GOSFORTH";"40911.60603009259";"NE3 2DW";"55.0225464";"-1.6195574"
"2";"GOSFORTH";"40911.60726851852";"NE3 2DW";"55.0225464";"-1.6195574"
"2";"GOSFORTH";"40911.60793981481";"NE3 2DW";"55.0225464";"-1.6195574"
"2";"GOSFORTH";"40911.60856481481";"NE3 2DW";"55.0225464";"-1.6195574"
"36";"CITY";"40911.609375";"NE6 2LD";"54.9747647";"-1.5693971"
"36";"CITY";"40911.61453703704";"NE4 9EP";"54.9821682";"-1.6541318"
"36";"CITY";"40911.61586805555";"NE8 1NL";"54.9583091";"-1.6057576"
"35";"EAST END";"40911.62572916667";"NE26 2AX";"55.0417045";"-1.4410606"
"6";"WALKER";"40911.62586805555";"NE6 3NP";"54.9705946";"-1.5480865"
"36";"CITY";"40911.62850694444";"NE22 7JJ";"55.143935";"-1.5664065"
"36";"CITY";"40911.62961805556";"NE23 7RA";"55.0605529";"-1.5753843"
"36";"CITY";"40911.63385416667";NULL;NULL;NULL
"36";"CITY";"40911.63878472222";"NE38 0HE";"54.8964966";"-1.5433893"
"36";"CITY";"40911.63984953704";NULL;NULL;NULL
"36";"CITY";"40911.6438425926";"NE4 6JG";"54.9719748";"-1.6344969"
"6";"WALKER";"40911.65078703704";"NE6 2LD";"54.9747647";"-1.5693971"
"36";"CITY";"40911.65474537037";"NE26 4DB";"55.0781789";"-1.4744959"
"36";"CITY";"40911.66194444444";"DH5 8DJ";"54.8398828";"-1.4626172"
"36";"CITY";"40911.66512731482";"NE25 8BH";"55.0391897";"-1.459559"
"36";"CITY";"40911.67001157408";"NE28 9BN";"55.0098636";"-1.5216174"
"36";"CITY";"40911.67347222222";"NE45 5JL";"54.977522";"-2.0141209"
"36";"CITY";"40911.67747685185";"NE4 8AH";"54.9718675";"-1.6538079"
"36";"CITY";"40911.68670138889";"NE4 6JG";"54.9719748";"-1.6344969"
"36";"CITY";"40911.68880787037";"NE1 6PY";"54.9742805";"-1.5994268"
"20";"DENTON BURN";"40911.68893518519";"NE5 2SY";"54.9899786";"-1.6833345"
"9";"WEST END";"40911.69607638889";"NE15 6NF";"54.974351";"-1.6753841"
"36";"CITY";"40911.69694444445";"NE23 7RA";"55.0605529";"-1.5753843"
"36";"CITY";"40911.7078587963";"NE26 3ST";"55.048641";"-1.4594295"
"36";"CITY";"40911.72393518518";NULL;NULL;NULL
"36";"CITY";"40911.75055555555";NULL;NULL;NULL
"36";"CITY";"40911.77412037037";"NE6 5LJ";"54.986578";"-1.5775826"
"36";"CITY";"40911.77445601852";"NE42 6NP";"54.964883";"-1.8660175"
"36";"CITY";"40911.77630787037";"NE25 9YE";"55.0426026";"-1.4785197"
"36";"CITY";"40911.78752314814";"NE37 1AR";"54.9107406";"-1.5373556"
"36";"CITY";"40912.37712962963";NULL;NULL;NULL
"36";"CITY";"40912.38221064815";"NE28 7JG";"54.9985663";"-1.5171122"
"36";"CITY";"40912.39905092592";"NE6 5LJ";"54.986578";"-1.5775826"
"36";"CITY";"40912.4184375";"NE40 3HQ";"54.9729198";"-1.7608523"
"36";"CITY";"40912.43699074074";"NE10 0YQ";"54.9557589";"-1.5549643"
"36";"CITY";"40912.43887731482";"NE4 8AH";"54.9718675";"-1.6538079"
"36";"CITY";"40912.45601851852";"NE6 4XY";"54.9836239";"-1.5508982"
"36";"CITY";"40912.46987268519";"NE5 1TU";"55.0008475";"-1.7148744"
"1";"OUTER WEST LIBRARY";"40912.48458333333";"NE5 5QJ";"54.9965379";"-1.6989545"
"36";"CITY";"40912.48483796296";"NE4 6JG";"54.9719748";"-1.6344969"
"1";"OUTER WEST LIBRARY";"40912.48701388889";"NE5 5QJ";"54.9965379";"-1.6989545"
"15";"FAWDON";"40912.49420138889";"NE3 2SL";"55.01723";"-1.6492613"
"36";"CITY";"40912.51598379629";"DH1 5PJ";"54.7992702";"-1.5786056"
"36";"CITY";"40912.51846064815";"NE40 4QR";"54.9614961";"-1.7826395"
"36";"CITY";"40912.526875";"NE28 9BN";"55.0098636";"-1.5216174"
"9";"WEST END";"40912.53083333333";"NE4 8AH";"54.9718675";"-1.6538079"
"35";"EAST END";"40912.54195601852";"NE6 2LD";"54.9747647";"-1.5693971"
"36";"CITY";"40912.54609953704";"DH9 9SF";"54.8823051";"-1.7349958"
"36";"CITY";"40912.55283564814";"NE40 3HQ";"54.9729198";"-1.7608523"
"36";"CITY";"40912.55513888889";"NE32 4EB";"54.9581274";"-1.4797992"
"36";"CITY";"40912.55887731481";"NE15 7UB";"54.9815404";"-1.6920202"
"36";"CITY";"40912.56241898148";"NE2 1NQ";"54.9828735";"-1.5974036"
"36";"CITY";"40912.56430555556";"NE7 7PL";"55.0001164";"-1.5787226"
"36";"CITY";"40912.57075231482";"NE6 4XY";"54.9836239";"-1.5508982"
"36";"CITY";"40912.57915509259";"NE16 6QQ";"54.9063902";"-1.7302561"
"36";"CITY";"40912.58539351852";"NE8 3NS";"54.95825";"-1.5897935"
"36";"CITY";"40912.58579861111";"SR3 1PA";"54.885135";"-1.4045401"
"36";"CITY";"40912.58798611111";"DH2 2NE";"54.8597149";"-1.5938511"
"36";"CITY";"40912.59403935185";"NE5 2SY";"54.9899786";"-1.6833345"
"36";"CITY";"40912.61037037037";"NE4 5EQ";"54.9768148";"-1.6327259"
"36";"CITY";"40912.6136574074";NULL;NULL;NULL
"1";"OUTER WEST LIBRARY";"40912.61521990741";"NE5 1TU";"55.0008475";"-1.7148744"
"9";"WEST END";"40912.63027777777";"NE5 1TU";"55.0008475";"-1.7148744"
