# ----------------------------------------,,,,,
# www.northernstage.co.uk,,,,,
# Devices,,,,,
# 20081018-20120322,,,,,
# ----------------------------------------,,,,,
,,,,,
Mobile Device Info,Visits,Pages/Visit,Avg. Time on Site,% New Visits,Bounce Rate
Apple iPhone,"6,507",3.07,00:02:04,60.53%,45.80%
Apple iPad,"3,951",5.92,00:03:24,61.35%,29.57%
(not set),"1,883",3.72,00:02:16,69.93%,40.27%
Apple iPod Touch,425,2.67,00:01:41,69.77%,44.65%
HTC Desire,400,2.3,00:01:15,72.77%,48.02%
SonyEricsson LT15i Xperia Arc,303,3.48,00:02:01,74.51%,41.18%
Samsung GT-I9100 Galaxy S II,237,2.72,00:01:18,76.67%,51.67%
HTC Wildfire,235,2.92,00:03:34,52.10%,52.10%
Samsung GT-I9000 Galaxy S,182,2.84,00:02:18,75.00%,40.22%
HTC Desire HD,158,3.2,00:02:01,75.00%,40.00%
RIM BlackBerry 9700 Bold,152,2.62,00:02:11,63.64%,35.06%
Samsung GT-S5830 Galaxy Ace,110,2.96,00:02:38,64.29%,42.86%
RIM BlackBerry 9300 Curve 3G,91,1.93,00:00:57,71.74%,50.00%
SonyEricsson E15i Xperia X8,71,5.11,00:05:20,38.89%,25.00%
HTC Wildfire S,61,3.68,00:03:10,64.52%,45.16%
RIM BlackBerry 8520 Curve,61,2.06,00:03:17,83.87%,61.29%
Samsung GT-i5500 Galaxy 5,37,2.63,00:01:46,36.84%,42.11%
SonyEricsson U20i Xperia X10 Mini pro,37,3.74,00:01:52,68.42%,47.37%
SonyEricsson MT15i Xperia Neo,33,4.18,00:01:21,58.82%,35.29%
Nokia N8-00 N8,31,2.19,00:01:15,100.00%,43.75%
HTC Bravo,29,5.2,00:02:10,66.67%,33.33%
Samsung Galaxy Tab,29,3.47,00:03:02,46.67%,20.00%
HTC Desire X0H6T,25,3.69,00:01:20,69.23%,30.77%
Nokia NC3-01,23,2,00:01:51,100.00%,66.67%
Samsung GT i5700 Galaxy Spica,21,2.36,00:02:14,72.73%,27.27%
Motorola MB525 DEFY,19,3.1,00:03:14,90.00%,50.00%
RIM BlackBerry 9105 Pearl 3G,19,7,00:08:18,70.00%,10.00%
Samsung GT-I5800 Galaxy 3,17,4,00:02:05,77.78%,44.44%
SonyEricsson E10i Xperia X10 Mini,17,3.33,00:01:33,77.78%,22.22%
Fujitsu T-01C REGZA Phone T-01C,15,1.5,00:00:22,75.00%,62.50%
Nokia 5800d XpressMusic,15,2.25,00:01:42,87.50%,50.00%
Nokia E5-00 Mystic,15,3,00:01:43,100.00%,50.00%
SonyEricsson X10i Xperia X10,15,3,00:01:06,62.50%,50.00%
HTC Sensation Sensation,13,3.71,00:02:57,85.71%,28.57%
Nokia E63,13,6,00:08:50,100.00%,14.29%
Samsung GT-P7510 Galaxy Tab 10.1,13,3.29,00:00:37,71.43%,14.29%
SonyEricsson R800i Xperia PLAY,13,10.29,00:03:54,42.86%,0.00%
T-Mobile G2 Touch,13,1.71,00:04:06,42.86%,42.86%
HTC Legend,11,2.17,00:01:04,66.67%,83.33%
Samsung GT-S5570 Galaxy Mini,11,1.17,00:01:03,83.33%,83.33%
Asus Eee Pad Transformer TF101,9,11,00:03:12,60.00%,60.00%
Google Nexus S Samsung Nexus S,9,1.6,00:03:05,80.00%,60.00%
Motorola MB860 Atrix,9,3.4,00:04:49,80.00%,60.00%
Motorola MZ604 Xoom,9,2.6,00:00:50,80.00%,40.00%
Nokia  Nuron,9,3,00:02:39,100.00%,20.00%
Nokia E72,9,2,00:00:59,100.00%,40.00%
Dell Streak,7,4,00:05:32,100.00%,25.00%
HTC Hero,7,1.25,00:00:13,100.00%,75.00%
LG P500,7,2,00:00:51,100.00%,25.00%
Nokia C7-00 Astound,7,2.75,00:03:43,100.00%,25.00%
Samsung GT-P1000 Galaxy Tab,7,8.5,00:05:28,100.00%,0.00%
HTC 001HT Desire HD SoftBank,5,8.67,00:11:15,66.67%,0.00%
HTC ADR6300 Incredible,5,1,00:00:00,100.00%,100.00%
HTC Desire S,5,5.67,00:05:08,66.67%,33.33%
HTC Desire Z,5,3.67,00:03:52,100.00%,0.00%
HTC S710e Incredible S,5,3,00:00:49,66.67%,33.33%
LG GT540,5,2.67,00:03:35,100.00%,33.33%
Nokia E71,5,1.67,00:00:04,100.00%,33.33%
RIM BlackBerry 9520 Storm II,5,3.33,00:03:20,100.00%,33.33%
Samsung GT-S5670 Galaxy Fit,5,6,00:02:02,66.67%,0.00%
ZTE Orange San Francisco,5,2,00:00:49,100.00%,33.33%
HTC Desire ADR6200,3,1,00:00:00,100.00%,100.00%
Motorola Droid 2,3,2.5,00:00:50,50.00%,50.00%
Motorola MB200 Cliq,3,3,00:01:43,100.00%,50.00%
Motorola Xoom,3,4,00:00:40,50.00%,0.00%
Nokia  XpressMusic,3,1,00:00:00,100.00%,100.00%
Nokia 6700c,3,2.5,00:04:22,100.00%,0.00%
Nokia N97 mini,3,3.5,00:03:15,100.00%,0.00%
Nokia X6,3,1,00:00:00,100.00%,100.00%
RIM BlackBerry 8900 Curve,3,1.5,00:01:48,100.00%,50.00%
Samsung GT-P7500 Galaxy Tab,3,1,00:00:00,100.00%,100.00%
Samsung SPH-D700 Epic 4G,3,1,00:00:00,100.00%,100.00%
SonyEricsson SK17i Xperia Mini Pro,3,5.5,00:06:00,50.00%,0.00%
SonyEricsson U5i Vivaz,3,1.5,00:00:21,100.00%,50.00%
SonyEricsson W995,3,2,00:04:07,100.00%,50.00%
ZTE Blade,3,3.5,00:01:49,100.00%,50.00%
Acer A500 Picasso,1,17,00:08:20,100.00%,0.00%
Acer G100W G100W,1,3,00:01:29,100.00%,0.00%
Android SDK,1,1,00:00:00,0.00%,100.00%
Google Nexus One,1,2,00:00:19,100.00%,0.00%
Google Nexus One HTC Nexus One,1,1,00:00:00,100.00%,100.00%
HTC  EVO 4G,1,5,00:02:12,100.00%,0.00%
HTC A6366 Aria,1,1,00:00:00,100.00%,100.00%
HTC A8181 Desire,1,5,00:03:22,100.00%,0.00%
HTC Vision,1,1,00:00:00,100.00%,100.00%
Huawei Vodafone 858,1,2,00:00:32,100.00%,0.00%
LG GW620,1,1,00:00:00,100.00%,100.00%
LG P970 Optimus Black,1,8,00:03:04,100.00%,0.00%
Motorola DroidX,1,2,00:00:46,100.00%,0.00%
Motorola Milestone,1,1,00:00:00,100.00%,100.00%
Motorola Milestone XT720,1,2,00:22:10,100.00%,0.00%
Nokia C3-00,1,5,00:14:38,100.00%,0.00%
Nokia C5-03 C5,1,8,00:02:56,100.00%,0.00%
Nokia C6-00,1,1,00:00:00,100.00%,100.00%
Nokia C6-01 C6,1,1,00:00:00,100.00%,100.00%
Nokia C7-00 C7,1,1,00:00:00,100.00%,100.00%
Nokia N86,1,1,00:00:00,100.00%,100.00%
Orange San Francisco,1,1,00:00:00,100.00%,100.00%
RIM BlackBerry 9000 Bold,1,1,00:00:00,100.00%,100.00%
RIM BlackBerry 9630 Tour,1,1,00:00:00,100.00%,100.00%
RIM BlackBerry 9650 Bold,1,3,00:11:47,100.00%,0.00%
Samsung GT S8500 Wave,1,11,00:06:17,100.00%,0.00%
Samsung GT-I5801,1,1,00:00:00,100.00%,100.00%
Samsung GT-I9003,1,4,00:00:57,100.00%,0.00%
Samsung Nexus S,1,10,00:05:46,100.00%,0.00%
SonyEricsson K660i,1,7,00:09:50,100.00%,0.00%
SonyEricsson SO-01C Xperia arc SO-01C for DoCoMo,1,3,00:03:55,100.00%,0.00%
SonyEricsson U1i Satio,1,3,00:01:47,100.00%,0.00%
SonyEricsson W595,1,1,00:00:00,100.00%,100.00%
SonyEricsson X10a Xperia X10,1,1,00:00:00,100.00%,100.00%
SonyEricsson X10iv Xperia X10,1,1,00:00:00,100.00%,100.00%
T-Mobile Pulse,1,2,00:00:48,100.00%,0.00%
Toshiba T-01C Regza T-01C for DoCoMo,1,2,00:01:07,100.00%,0.00%
Verizon Droid,1,1,00:00:00,100.00%,100.00%
ZTE BLADE,1,4,00:01:20,100.00%,0.00%
,"15,631",3.85,00:02:27,64.20%,40.61%
,,,,,
Day,Visits,,,,
18/10/2008,0,,,,
19/10/2008,0,,,,
20/10/2008,0,,,,
21/10/2008,0,,,,
22/10/2008,0,,,,
23/10/2008,0,,,,
24/10/2008,0,,,,
25/10/2008,0,,,,
26/10/2008,0,,,,
27/10/2008,0,,,,
28/10/2008,0,,,,
29/10/2008,0,,,,
30/10/2008,0,,,,
31/10/2008,0,,,,
01/11/2008,0,,,,
02/11/2008,0,,,,
03/11/2008,0,,,,
04/11/2008,0,,,,
05/11/2008,0,,,,
06/11/2008,0,,,,
07/11/2008,0,,,,
08/11/2008,0,,,,
09/11/2008,0,,,,
10/11/2008,0,,,,
11/11/2008,0,,,,
12/11/2008,0,,,,
13/11/2008,0,,,,
14/11/2008,0,,,,
15/11/2008,0,,,,
16/11/2008,0,,,,
17/11/2008,0,,,,
18/11/2008,0,,,,
19/11/2008,0,,,,
20/11/2008,0,,,,
21/11/2008,0,,,,
22/11/2008,0,,,,
23/11/2008,0,,,,
24/11/2008,0,,,,
25/11/2008,0,,,,
26/11/2008,0,,,,
27/11/2008,0,,,,
28/11/2008,0,,,,
29/11/2008,0,,,,
30/11/2008,0,,,,
01/12/2008,0,,,,
02/12/2008,0,,,,
03/12/2008,0,,,,
04/12/2008,0,,,,
05/12/2008,0,,,,
06/12/2008,0,,,,
07/12/2008,0,,,,
08/12/2008,0,,,,
09/12/2008,0,,,,
10/12/2008,0,,,,
11/12/2008,0,,,,
12/12/2008,0,,,,
13/12/2008,0,,,,
14/12/2008,0,,,,
15/12/2008,0,,,,
16/12/2008,0,,,,
17/12/2008,0,,,,
18/12/2008,0,,,,
19/12/2008,0,,,,
20/12/2008,0,,,,
21/12/2008,0,,,,
22/12/2008,0,,,,
23/12/2008,0,,,,
24/12/2008,0,,,,
25/12/2008,0,,,,
26/12/2008,0,,,,
27/12/2008,0,,,,
28/12/2008,0,,,,
29/12/2008,0,,,,
30/12/2008,0,,,,
31/12/2008,0,,,,
01/01/2009,0,,,,
02/01/2009,0,,,,
03/01/2009,0,,,,
04/01/2009,0,,,,
05/01/2009,0,,,,
06/01/2009,0,,,,
07/01/2009,0,,,,
08/01/2009,0,,,,
09/01/2009,0,,,,
10/01/2009,0,,,,
11/01/2009,0,,,,
12/01/2009,0,,,,
13/01/2009,0,,,,
14/01/2009,0,,,,
15/01/2009,0,,,,
16/01/2009,0,,,,
17/01/2009,0,,,,
18/01/2009,0,,,,
19/01/2009,0,,,,
20/01/2009,0,,,,
21/01/2009,0,,,,
22/01/2009,0,,,,
23/01/2009,0,,,,
24/01/2009,0,,,,
25/01/2009,0,,,,
26/01/2009,0,,,,
27/01/2009,0,,,,
28/01/2009,0,,,,
29/01/2009,0,,,,
30/01/2009,0,,,,
31/01/2009,0,,,,
01/02/2009,0,,,,
02/02/2009,0,,,,
03/02/2009,0,,,,
04/02/2009,0,,,,
05/02/2009,0,,,,
06/02/2009,0,,,,
07/02/2009,0,,,,
08/02/2009,0,,,,
09/02/2009,0,,,,
10/02/2009,0,,,,
11/02/2009,0,,,,
12/02/2009,0,,,,
13/02/2009,0,,,,
14/02/2009,0,,,,
15/02/2009,0,,,,
16/02/2009,0,,,,
17/02/2009,0,,,,
18/02/2009,0,,,,
19/02/2009,0,,,,
20/02/2009,0,,,,
21/02/2009,0,,,,
22/02/2009,0,,,,
23/02/2009,0,,,,
24/02/2009,0,,,,
25/02/2009,0,,,,
26/02/2009,0,,,,
27/02/2009,0,,,,
28/02/2009,0,,,,
01/03/2009,0,,,,
02/03/2009,0,,,,
03/03/2009,0,,,,
04/03/2009,0,,,,
05/03/2009,0,,,,
06/03/2009,0,,,,
07/03/2009,0,,,,
08/03/2009,0,,,,
09/03/2009,0,,,,
10/03/2009,0,,,,
11/03/2009,0,,,,
12/03/2009,0,,,,
13/03/2009,0,,,,
14/03/2009,0,,,,
15/03/2009,0,,,,
16/03/2009,0,,,,
17/03/2009,0,,,,
18/03/2009,0,,,,
19/03/2009,0,,,,
20/03/2009,0,,,,
21/03/2009,0,,,,
22/03/2009,0,,,,
23/03/2009,0,,,,
24/03/2009,0,,,,
25/03/2009,0,,,,
26/03/2009,0,,,,
27/03/2009,0,,,,
28/03/2009,0,,,,
29/03/2009,0,,,,
30/03/2009,0,,,,
31/03/2009,0,,,,
01/04/2009,0,,,,
02/04/2009,0,,,,
03/04/2009,0,,,,
04/04/2009,0,,,,
05/04/2009,0,,,,
06/04/2009,0,,,,
07/04/2009,0,,,,
08/04/2009,0,,,,
09/04/2009,0,,,,
10/04/2009,0,,,,
11/04/2009,0,,,,
12/04/2009,0,,,,
13/04/2009,0,,,,
14/04/2009,0,,,,
15/04/2009,0,,,,
16/04/2009,0,,,,
17/04/2009,0,,,,
18/04/2009,0,,,,
19/04/2009,0,,,,
20/04/2009,0,,,,
21/04/2009,0,,,,
22/04/2009,0,,,,
23/04/2009,0,,,,
24/04/2009,0,,,,
25/04/2009,0,,,,
26/04/2009,0,,,,
27/04/2009,0,,,,
28/04/2009,0,,,,
29/04/2009,0,,,,
30/04/2009,0,,,,
01/05/2009,0,,,,
02/05/2009,0,,,,
03/05/2009,0,,,,
04/05/2009,0,,,,
05/05/2009,0,,,,
06/05/2009,0,,,,
07/05/2009,0,,,,
08/05/2009,0,,,,
09/05/2009,0,,,,
10/05/2009,0,,,,
11/05/2009,0,,,,
12/05/2009,0,,,,
13/05/2009,0,,,,
14/05/2009,0,,,,
15/05/2009,0,,,,
16/05/2009,0,,,,
17/05/2009,0,,,,
18/05/2009,0,,,,
19/05/2009,0,,,,
20/05/2009,0,,,,
21/05/2009,0,,,,
22/05/2009,0,,,,
23/05/2009,0,,,,
24/05/2009,0,,,,
25/05/2009,0,,,,
26/05/2009,0,,,,
27/05/2009,0,,,,
28/05/2009,0,,,,
29/05/2009,0,,,,
30/05/2009,0,,,,
31/05/2009,0,,,,
01/06/2009,0,,,,
02/06/2009,0,,,,
03/06/2009,0,,,,
04/06/2009,0,,,,
05/06/2009,0,,,,
06/06/2009,0,,,,
07/06/2009,0,,,,
08/06/2009,0,,,,
09/06/2009,0,,,,
10/06/2009,0,,,,
11/06/2009,0,,,,
12/06/2009,0,,,,
13/06/2009,0,,,,
14/06/2009,0,,,,
15/06/2009,0,,,,
16/06/2009,0,,,,
17/06/2009,0,,,,
18/06/2009,0,,,,
19/06/2009,0,,,,
20/06/2009,0,,,,
21/06/2009,0,,,,
22/06/2009,0,,,,
23/06/2009,0,,,,
24/06/2009,0,,,,
25/06/2009,0,,,,
26/06/2009,0,,,,
27/06/2009,0,,,,
28/06/2009,0,,,,
29/06/2009,0,,,,
30/06/2009,0,,,,
01/07/2009,0,,,,
02/07/2009,0,,,,
03/07/2009,0,,,,
04/07/2009,0,,,,
05/07/2009,0,,,,
06/07/2009,0,,,,
07/07/2009,0,,,,
08/07/2009,0,,,,
09/07/2009,0,,,,
10/07/2009,0,,,,
11/07/2009,0,,,,
12/07/2009,0,,,,
13/07/2009,0,,,,
14/07/2009,0,,,,
15/07/2009,0,,,,
16/07/2009,0,,,,
17/07/2009,0,,,,
18/07/2009,0,,,,
19/07/2009,0,,,,
20/07/2009,0,,,,
21/07/2009,0,,,,
22/07/2009,0,,,,
23/07/2009,0,,,,
24/07/2009,0,,,,
25/07/2009,0,,,,
26/07/2009,0,,,,
27/07/2009,0,,,,
28/07/2009,0,,,,
29/07/2009,0,,,,
30/07/2009,0,,,,
31/07/2009,0,,,,
01/08/2009,0,,,,
02/08/2009,0,,,,
03/08/2009,0,,,,
04/08/2009,0,,,,
05/08/2009,0,,,,
06/08/2009,0,,,,
07/08/2009,0,,,,
08/08/2009,0,,,,
09/08/2009,0,,,,
10/08/2009,0,,,,
11/08/2009,0,,,,
12/08/2009,0,,,,
13/08/2009,0,,,,
14/08/2009,0,,,,
15/08/2009,0,,,,
16/08/2009,0,,,,
17/08/2009,0,,,,
18/08/2009,0,,,,
19/08/2009,0,,,,
20/08/2009,0,,,,
21/08/2009,0,,,,
22/08/2009,0,,,,
23/08/2009,0,,,,
24/08/2009,0,,,,
25/08/2009,0,,,,
26/08/2009,0,,,,
27/08/2009,0,,,,
28/08/2009,0,,,,
29/08/2009,0,,,,
30/08/2009,0,,,,
31/08/2009,0,,,,
01/09/2009,0,,,,
02/09/2009,0,,,,
03/09/2009,0,,,,
04/09/2009,0,,,,
05/09/2009,0,,,,
06/09/2009,0,,,,
07/09/2009,0,,,,
08/09/2009,0,,,,
09/09/2009,0,,,,
10/09/2009,0,,,,
11/09/2009,0,,,,
12/09/2009,0,,,,
13/09/2009,0,,,,
14/09/2009,0,,,,
15/09/2009,0,,,,
16/09/2009,0,,,,
17/09/2009,0,,,,
18/09/2009,0,,,,
19/09/2009,0,,,,
20/09/2009,0,,,,
21/09/2009,0,,,,
22/09/2009,0,,,,
23/09/2009,0,,,,
24/09/2009,0,,,,
25/09/2009,0,,,,
26/09/2009,0,,,,
27/09/2009,0,,,,
28/09/2009,0,,,,
29/09/2009,0,,,,
30/09/2009,0,,,,
01/10/2009,0,,,,
02/10/2009,0,,,,
03/10/2009,0,,,,
04/10/2009,0,,,,
05/10/2009,0,,,,
06/10/2009,0,,,,
07/10/2009,0,,,,
08/10/2009,0,,,,
09/10/2009,0,,,,
10/10/2009,0,,,,
11/10/2009,0,,,,
12/10/2009,0,,,,
13/10/2009,0,,,,
14/10/2009,0,,,,
15/10/2009,0,,,,
16/10/2009,0,,,,
17/10/2009,0,,,,
18/10/2009,0,,,,
19/10/2009,0,,,,
20/10/2009,0,,,,
21/10/2009,0,,,,
22/10/2009,0,,,,
23/10/2009,0,,,,
24/10/2009,0,,,,
25/10/2009,0,,,,
26/10/2009,0,,,,
27/10/2009,0,,,,
28/10/2009,0,,,,
29/10/2009,0,,,,
30/10/2009,0,,,,
31/10/2009,0,,,,
01/11/2009,0,,,,
02/11/2009,0,,,,
03/11/2009,7,,,,
04/11/2009,6,,,,
05/11/2009,9,,,,
06/11/2009,8,,,,
07/11/2009,8,,,,
08/11/2009,5,,,,
09/11/2009,8,,,,
10/11/2009,5,,,,
11/11/2009,2,,,,
12/11/2009,12,,,,
13/11/2009,10,,,,
14/11/2009,9,,,,
15/11/2009,4,,,,
16/11/2009,3,,,,
17/11/2009,10,,,,
18/11/2009,10,,,,
19/11/2009,4,,,,
20/11/2009,5,,,,
21/11/2009,4,,,,
22/11/2009,4,,,,
23/11/2009,3,,,,
24/11/2009,7,,,,
25/11/2009,10,,,,
26/11/2009,12,,,,
27/11/2009,10,,,,
28/11/2009,1,,,,
29/11/2009,8,,,,
30/11/2009,5,,,,
01/12/2009,6,,,,
02/12/2009,5,,,,
03/12/2009,3,,,,
04/12/2009,5,,,,
05/12/2009,7,,,,
06/12/2009,3,,,,
07/12/2009,5,,,,
08/12/2009,9,,,,
09/12/2009,12,,,,
10/12/2009,8,,,,
11/12/2009,9,,,,
12/12/2009,17,,,,
13/12/2009,4,,,,
14/12/2009,4,,,,
15/12/2009,16,,,,
16/12/2009,12,,,,
17/12/2009,6,,,,
18/12/2009,2,,,,
19/12/2009,12,,,,
20/12/2009,7,,,,
21/12/2009,4,,,,
22/12/2009,7,,,,
23/12/2009,6,,,,
24/12/2009,6,,,,
25/12/2009,3,,,,
26/12/2009,10,,,,
27/12/2009,7,,,,
28/12/2009,7,,,,
29/12/2009,27,,,,
30/12/2009,8,,,,
31/12/2009,10,,,,
01/01/2010,2,,,,
02/01/2010,14,,,,
03/01/2010,6,,,,
04/01/2010,7,,,,
05/01/2010,9,,,,
06/01/2010,5,,,,
07/01/2010,4,,,,
08/01/2010,6,,,,
09/01/2010,8,,,,
10/01/2010,6,,,,
11/01/2010,1,,,,
12/01/2010,7,,,,
13/01/2010,6,,,,
14/01/2010,5,,,,
15/01/2010,12,,,,
16/01/2010,9,,,,
17/01/2010,7,,,,
18/01/2010,16,,,,
19/01/2010,6,,,,
20/01/2010,7,,,,
21/01/2010,9,,,,
22/01/2010,13,,,,
23/01/2010,16,,,,
24/01/2010,13,,,,
25/01/2010,4,,,,
26/01/2010,8,,,,
27/01/2010,3,,,,
28/01/2010,12,,,,
29/01/2010,8,,,,
30/01/2010,14,,,,
31/01/2010,7,,,,
01/02/2010,8,,,,
02/02/2010,12,,,,
03/02/2010,8,,,,
04/02/2010,9,,,,
05/02/2010,10,,,,
06/02/2010,9,,,,
07/02/2010,7,,,,
08/02/2010,5,,,,
09/02/2010,11,,,,
10/02/2010,11,,,,
11/02/2010,9,,,,
12/02/2010,14,,,,
13/02/2010,14,,,,
14/02/2010,7,,,,
15/02/2010,6,,,,
16/02/2010,10,,,,
17/02/2010,10,,,,
18/02/2010,15,,,,
19/02/2010,14,,,,
20/02/2010,10,,,,
21/02/2010,7,,,,
22/02/2010,8,,,,
23/02/2010,0,,,,
24/02/2010,14,,,,
25/02/2010,10,,,,
26/02/2010,7,,,,
27/02/2010,6,,,,
28/02/2010,6,,,,
01/03/2010,8,,,,
02/03/2010,9,,,,
03/03/2010,7,,,,
04/03/2010,10,,,,
05/03/2010,8,,,,
06/03/2010,13,,,,
07/03/2010,6,,,,
08/03/2010,8,,,,
09/03/2010,7,,,,
10/03/2010,8,,,,
11/03/2010,8,,,,
12/03/2010,7,,,,
13/03/2010,11,,,,
14/03/2010,7,,,,
15/03/2010,15,,,,
16/03/2010,18,,,,
17/03/2010,11,,,,
18/03/2010,9,,,,
19/03/2010,11,,,,
20/03/2010,11,,,,
21/03/2010,12,,,,
22/03/2010,7,,,,
23/03/2010,4,,,,
24/03/2010,28,,,,
25/03/2010,15,,,,
26/03/2010,7,,,,
27/03/2010,11,,,,
28/03/2010,7,,,,
29/03/2010,3,,,,
30/03/2010,5,,,,
31/03/2010,9,,,,
01/04/2010,14,,,,
02/04/2010,9,,,,
03/04/2010,7,,,,
04/04/2010,6,,,,
05/04/2010,11,,,,
06/04/2010,12,,,,
07/04/2010,11,,,,
08/04/2010,5,,,,
09/04/2010,13,,,,
10/04/2010,7,,,,
11/04/2010,9,,,,
12/04/2010,16,,,,
13/04/2010,22,,,,
14/04/2010,16,,,,
15/04/2010,18,,,,
16/04/2010,16,,,,
17/04/2010,15,,,,
18/04/2010,11,,,,
19/04/2010,2,,,,
20/04/2010,0,,,,
21/04/2010,0,,,,
22/04/2010,0,,,,
23/04/2010,0,,,,
24/04/2010,0,,,,
25/04/2010,0,,,,
26/04/2010,0,,,,
27/04/2010,0,,,,
28/04/2010,0,,,,
29/04/2010,0,,,,
30/04/2010,0,,,,
