# ----------------------------------------,,,,,
# www.northernstage.co.uk,,,,,
# Location,,,,,
# 20081018-20120322,,,,,
# ----------------------------------------,,,,,
,,,,,
Country/Territory,Visits,Pages/Visit,Avg. Time on Site,% New Visits,Bounce Rate
United Kingdom,"462,285",4.45,00:02:46,56.30%,29.60%
United States,"14,030",2.1,00:00:37,90.48%,75.54%
Germany,"1,614",3.36,00:01:27,76.02%,41.95%
France,"1,236",3.4,00:01:50,73.22%,41.42%
Netherlands,"1,158",3.33,00:01:40,74.78%,38.95%
Australia,"1,140",2.92,00:01:40,86.93%,52.54%
(not set),"1,100",3.64,00:02:12,66.64%,31.55%
Ireland,920,2.73,00:01:16,82.50%,55.33%
Canada,809,2.76,00:00:57,84.80%,56.24%
Sweden,727,2.96,00:01:58,65.47%,42.09%
India,601,3.39,00:03:04,84.86%,51.58%
Spain,598,3.66,00:01:45,84.45%,42.47%
Italy,428,2.61,00:01:25,84.81%,50.23%
Belgium,387,3.27,00:01:30,77.00%,37.73%
Norway,289,3.44,00:03:11,80.28%,38.06%
Switzerland,263,3.36,00:01:19,79.09%,44.11%
China,248,3.54,00:03:40,82.66%,54.44%
Poland,238,2.49,00:01:00,89.50%,61.34%
Russia,237,3.06,00:01:37,87.34%,59.07%
Denmark,222,3.32,00:01:22,89.64%,42.34%
South Africa,214,3.13,00:01:59,83.18%,55.14%
Turkey,197,2.97,00:01:16,90.36%,67.01%
Portugal,191,3.3,00:01:34,57.59%,49.74%
Greece,187,2.41,00:00:42,92.51%,51.34%
Brazil,170,2.03,00:00:51,71.18%,68.82%
Czech Republic,143,2.45,00:00:46,88.81%,51.75%
Japan,136,2.39,00:01:24,84.56%,61.76%
Austria,135,3.41,00:02:11,81.48%,47.41%
Hungary,135,2.34,00:01:26,82.96%,43.70%
New Zealand,130,2.85,00:01:12,88.46%,52.31%
Romania,130,2.74,00:01:30,88.46%,41.54%
Hong Kong,129,3.44,00:01:58,85.27%,47.29%
Philippines,119,1.78,00:00:56,96.64%,63.87%
Bulgaria,118,2.37,00:01:14,71.19%,62.71%
Israel,116,3.03,00:01:26,81.90%,48.28%
United Arab Emirates,95,3.43,00:01:46,82.11%,38.95%
Argentina,94,3.34,00:01:25,79.79%,56.38%
Finland,88,2.82,00:01:40,93.18%,50.00%
Bosnia and Herzegovina,83,2.61,00:03:09,48.19%,59.04%
Serbia,82,2.61,00:01:35,91.46%,62.20%
Malaysia,81,2.38,00:02:01,82.72%,51.85%
Ukraine,73,2.03,00:00:20,100.00%,72.60%
Iran,71,2.08,00:01:36,94.37%,70.42%
Taiwan,70,2.67,00:01:22,85.71%,54.29%
Vietnam,69,2,00:00:58,85.51%,68.12%
Isle of Man,68,2.93,00:01:10,79.41%,32.35%
Mexico,67,2.21,00:00:46,95.52%,62.69%
Thailand,67,2.78,00:01:10,92.54%,53.73%
Jersey,63,3.78,00:02:16,69.84%,34.92%
Iceland,62,3.76,00:01:50,61.29%,48.39%
Pakistan,61,2.08,00:01:53,98.36%,65.57%
Singapore,59,3.95,00:02:04,88.14%,50.85%
South Korea,58,2.91,00:00:48,89.66%,63.79%
Slovakia,56,1.88,00:00:41,92.86%,73.21%
Croatia,53,2.25,00:00:19,94.34%,49.06%
Indonesia,52,4.02,00:01:45,100.00%,69.23%
Slovenia,52,2.29,00:00:51,94.23%,65.38%
Luxembourg,47,2.28,00:00:26,36.17%,31.91%
Malta,47,3.53,00:01:25,85.11%,27.66%
Latvia,46,1.61,00:01:32,89.13%,65.22%
Saudi Arabia,44,3.11,00:02:39,86.36%,50.00%
Cyprus,43,2.81,00:00:53,90.70%,34.88%
Lithuania,42,2.76,00:00:44,95.24%,64.29%
Egypt,38,1.68,00:01:42,94.74%,78.95%
Qatar,32,2.75,00:01:35,90.62%,40.62%
Kenya,29,2.48,00:01:39,58.62%,58.62%
Estonia,26,1.62,00:00:08,100.00%,69.23%
Bangladesh,25,1.72,00:01:00,96.00%,72.00%
Chile,25,1.84,00:00:38,96.00%,72.00%
Sri Lanka,22,3.77,00:00:48,90.91%,63.64%
Colombia,21,2.14,00:00:38,100.00%,71.43%
Macedonia [FYROM],21,1.86,00:00:34,90.48%,52.38%
Iraq,20,8.8,00:02:54,50.00%,25.00%
Venezuela,20,1.25,00:00:16,95.00%,80.00%
Nepal,19,7.26,00:06:44,42.11%,36.84%
Tunisia,18,2.17,00:02:51,94.44%,55.56%
Nigeria,15,1.73,00:03:11,100.00%,73.33%
Guernsey,14,2.86,00:00:57,100.00%,28.57%
Azerbaijan,13,3.38,00:01:18,84.62%,61.54%
Morocco,13,1.54,00:00:15,100.00%,76.92%
Jordan,12,1.83,00:00:59,100.00%,58.33%
Gibraltar,11,3.09,00:02:15,81.82%,36.36%
Peru,11,2,00:02:34,81.82%,63.64%
Trinidad and Tobago,11,3.36,00:04:01,100.00%,45.45%
Armenia,10,1,00:00:00,90.00%,100.00%
Bahrain,10,4.1,00:01:25,100.00%,50.00%
Ghana,10,1.4,00:00:18,90.00%,80.00%
Jamaica,10,1.4,00:01:48,100.00%,70.00%
Kuwait,10,2.4,00:01:29,100.00%,50.00%
Kazakhstan,10,1.9,00:00:49,100.00%,60.00%
Laos,10,1.1,00:00:09,70.00%,90.00%
Libya,10,7,00:05:07,30.00%,60.00%
Macau,10,4,00:01:47,60.00%,40.00%
Palestinian Territories,10,2.1,00:01:51,70.00%,60.00%
Georgia,9,3,00:01:45,100.00%,44.44%
Moldova,9,1.67,00:00:04,88.89%,66.67%
Sudan,9,5.56,00:02:43,100.00%,66.67%
Barbados,8,4.62,00:02:03,87.50%,12.50%
Bermuda,8,2.75,00:03:06,100.00%,50.00%
Belarus,8,2.38,00:00:51,87.50%,50.00%
Guatemala,8,2.12,00:00:29,62.50%,75.00%
Lebanon,8,1.38,00:00:25,87.50%,87.50%
Puerto Rico,8,1,00:00:00,100.00%,100.00%
Uruguay,8,6.5,00:03:29,100.00%,50.00%
Brunei,7,1,00:00:00,85.71%,100.00%
Costa Rica,7,1.43,00:00:17,85.71%,71.43%
Ecuador,7,1.71,00:00:30,100.00%,71.43%
Cambodia,7,1.71,00:00:08,85.71%,71.43%
Mongolia,7,2,00:00:43,100.00%,85.71%
Albania,6,2.17,00:00:21,100.00%,83.33%
Dominican Republic,6,1.33,00:00:05,100.00%,83.33%
Algeria,6,1.83,00:01:41,100.00%,50.00%
Panama,6,8.17,00:01:18,100.00%,16.67%
Syria,6,3.17,00:02:43,100.00%,50.00%
